Smell,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.015303982,-0.7151403,-0.70084393,-0.0468531,-0.36743164,-0.3688217,0.57785296,-0.18275265,0.40696862,-0.32735974,0.5565837,0.49430576,0.3397515
0,-0.6930128,0.4844614,-0.07366225,-0.69984865,0.3418732,0.6821776,-0.104981236,0.5514354,-0.43214867,-0.21821633,-0.46700132,-0.4712889,-0.4785163
0,0.063091934,0.65962476,0.7404826,0.36841246,0.5211778,0.6657771,-0.50734985,-0.11204883,-0.55381453,0.378082,-0.44136298,-0.5119265,-0.30098957
0,0.4202749,-0.74997693,-0.7882642,-0.27234325,-0.38658372,0.087385826,0.091527596,0.65670294,0.64608526,-0.26599187,0.17456675,0.8104635,0.6638134
0,-0.32867995,-0.5754473,-0.8429019,-0.32990026,-0.71821415,0.10033817,0.6386487,-0.36376172,0.86785036,-0.3561326,-0.389032,-0.23108539,0.26542994
0,0.89648664,0.0520723,0.6797638,0.7531697,0.3914895,0.033104528,-0.7501254,0.21192987,-0.22819486,0.43607017,0.38503435,0.89136934,0.41625375
0,0.79733104,0.3390511,0.7718546,0.5383924,0.27968374,-0.13293682,-0.64013577,-0.29756042,0.017197035,0.48470068,0.47268397,0.8511261,-0.05162385
0,-0.5033717,0.100254305,-0.33436713,-0.7868146,-0.67442596,-0.09422903,0.56651914,-0.48617136,0.79932195,-0.028244978,0.30947897,0.09403576,-0.43657532
0,0.23463695,0.59893334,0.6725109,0.40199852,0.55233526,0.6841614,-0.61719114,0.18743975,-0.596737,0.2910574,-0.37712413,-0.30784643,-0.13473241
0,-0.92325145,0.042683415,-0.6186898,-0.8611735,-0.10978373,0.23789534,0.7452705,0.031527445,-0.07751526,-0.50370955,0.030556861,-0.7773066,-0.5829096
0,-0.7118093,0.45154402,-0.06808857,-0.7123184,0.4241452,0.6759414,-0.13118099,0.6494934,-0.5273809,-0.3396321,-0.38933632,-0.3911136,-0.46460697
0,-0.35614315,0.7852459,0.7837713,-0.35070676,0.90492934,0.2975071,-0.657335,0.56556594,-0.9160012,-0.40550095,0.49074852,0.44879806,-0.85088384
0,-0.6856298,0.4778998,-0.04614463,-0.6928738,0.28765285,0.6872693,-0.06036846,0.48980117,-0.37918097,-0.17020683,-0.5277073,-0.50203747,-0.5002463
0,0.020655653,-0.58312917,-0.7121581,-0.5147022,-0.52646667,-0.30923232,0.47128743,0.05411855,0.62513494,-0.35979244,0.5763014,0.63427305,0.28156886
0,-0.7098587,0.40491232,-0.21704243,-0.6948144,0.22761674,0.7024773,0.015081159,0.5489469,-0.31712982,-0.22553472,-0.5321295,-0.56722516,-0.42595124
0,0.62382776,-0.3835274,0.101068676,0.67729485,-0.4104823,-0.3422863,0.1717136,-0.6974364,0.5261645,0.33365813,0.561873,0.3950788,0.39238778
0,0.2036341,0.6773229,0.7233577,0.30400935,0.59049404,0.6508548,-0.6603159,0.19330303,-0.6003401,0.2806343,-0.3996682,-0.24055526,-0.22100183
0,-0.43144482,-0.300379,-0.3969654,-0.5180175,-0.49545172,-0.3275443,0.659519,-0.5339165,0.58057797,-0.24324785,0.6108797,0.23033027,-0.22089629
0,-0.519019,0.5807174,0.07674947,-0.7291255,0.25165036,0.7992634,-0.42270753,0.61547416,-0.31745893,-0.10266663,-0.5889317,-0.36265695,-0.31157804
0,0.8267267,-0.6696739,-0.2641041,0.6376148,-0.22480977,-0.08038975,-0.2966935,0.054244187,0.24352928,0.20292123,0.4139848,0.734226,0.7212952
0,0.5959117,-0.7267181,-0.3569836,0.6534028,-0.5261619,-0.30849767,0.43297836,-0.6283009,0.57881665,0.23633279,0.3135739,0.23066008,0.60821027
0,0.5511964,0.40741274,0.51840883,0.8639033,0.66286385,0.21416903,-0.5255882,0.3693133,-0.64768875,0.14518635,0.13464023,0.32011694,-0.28645644
0,-0.008310521,0.6556373,0.73340875,0.4254333,0.5280462,0.62699103,-0.4244581,-0.22827153,-0.5896429,0.37145528,-0.36628836,-0.56736565,-0.37135112
0,-0.47584546,-0.4174378,-0.69279027,-0.78505373,-0.8350883,-0.1169793,0.71283185,-0.3131305,0.88256955,-0.046108548,0.26154166,-0.087727234,0.14996351
0,-0.56342596,-0.7692768,-0.9050977,-0.47975835,-0.7872813,0.1576868,0.73959094,-0.07308435,0.633351,-0.27209994,-0.29530516,-0.7325796,0.6006087
0,0.38978487,-0.71000236,-0.66169244,0.33607158,-0.72322387,-0.31246588,0.6478537,-0.53157717,0.79406935,0.14645755,0.19616622,0.1055534,0.6699662
0,-0.21452412,0.8029618,0.779436,-0.52013093,0.8793783,0.25997835,-0.6610938,0.5800466,-0.8217277,-0.35042596,0.5189247,0.678247,-0.8648599
0,-0.10950898,0.6884114,0.6934402,-0.128862,0.56655616,0.6919082,-0.6452351,0.34356788,-0.62090963,0.16223823,-0.21886791,-0.2768291,-0.43119225
0,-0.009775298,0.81035763,0.80776346,-0.47041738,0.8449043,0.21422698,-0.67754465,0.45429614,-0.66992784,-0.17768395,0.484991,0.7718252,-0.82892746
